gene_symbol	gene_symbol_long	_identifier
ABCA7L-1	ABC transporter A family member 7-like isoform X2 gene 1	glyma.Wm82.gnm2.ann1.Glyma.17G098300
ABCA7L-2	ABC transporter A family member 7-like isoform X2 gene 2	glyma.Wm82.gnm2.ann1.Glyma.05G028500
ABCB-1	ABC transporter B family member chloroplastic isoform X1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.02G038800
ABCB-2	ABC transporter B family member chloroplastic gene 2	glyma.Wm82.gnm2.ann1.Glyma.10G073800
ABCB-2	ABC transporter B family member mitochondrial gene 1	glyma.Wm82.gnm2.ann1.Glyma.02G238300
ABCB-2	ABC transporter B family member mitochondrial gene 2	glyma.Wm82.gnm2.ann1.Glyma.14G207200
ABCB-3	ABC transporter B family member chloroplastic-like isoform X2	glyma.Wm82.gnm2.ann1.Glyma.16G071000
ABCB-4	ABC transporter B family member chloroplastic isoform X1	glyma.Wm82.gnm2.ann1.Glyma.01G026000
ABCB-5, ABCB34	ABC transporter B family member gene 5	glyma.Wm82.gnm2.ann1.Glyma.03G183600
ABCB1-1, ABCB31	ABC transporter B family member 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G055000
ABCB1-2, ABCB32	ABC transporter B family member 1 gene 2	glyma.Wm82.gnm2.ann1.Glyma.13G142100
ABCB1-3, ABCB33	ABC transporter B family member 1 gene 3	glyma.Wm82.gnm2.ann1.Glyma.19G184300
ABCB11-1, ABCB9	ABC transporter B family member 11 gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G118800
ABCB11-2, ABCB10	ABC transporter B family member 11 gene 2	glyma.Wm82.gnm2.ann1.Glyma.13G118900
ABCB11-3, ABCB6	ABC transporter B family member 11 gene 3	glyma.Wm82.gnm2.ann1.Glyma.17G041400
ABCB11L-1	ABC transporter B family member 11-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G118600
ABCB11L-2, ABCB7	ABC transporter B family member 11-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.13G119000
ABCB11L-3, ABCB8	ABC transporter B family member 11-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.17G041200
ABCB13L-1, ABCB35	ABC transporter B family member 13-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.14G220200
ABCB13L-2, ABCB36	ABC transporter B family member 13-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.17G259100
ABCB15	ATP-Binding Cassette B/P-Glycoprotein gene 15	glyma.Wm82.gnm4.ann1.Glyma.18G012700
ABCB15-1, ABCB18	ABC transporter B family member 15 gene 1	glyma.Wm82.gnm2.ann1.Glyma.19G016600
ABCB15-2, ABCB19	ABC transporter B family member 15 gene 2	glyma.Wm82.gnm2.ann1.Glyma.19G016700
ABCB15L-1	ABC transporter B family member 15-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G081000
ABCB15L-2, ABCB21	ABC transporter B family member 15-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.08G342600
ABCB15L-3, ABCB22	ABC transporter B family member 15-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.18G154200
ABCB15L-4, ABCB20	ABC transporter B family member 15-like gene 4	glyma.Wm82.gnm2.ann1.Glyma.19G016400
ABCB16	ATP-Binding Cassette B/P-Glycoprotein gene 16	glyma.Wm82.gnm4.ann1.Glyma.06G269300
ABCB19-1, ABCB29	ABC transporter B family member 19 gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G063700
ABCB19-2, ABCB30	ABC transporter B family member 19 gene 2	glyma.Wm82.gnm2.ann1.Glyma.19G021500
ABCB19L-1, ABCB24	ABC transporter B family member 19-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.06G139500
ABCB19L-2, ABCB23	ABC transporter B family member 19-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.16G011000
ABCB20-1, ABCB27	ABC transporter B family member 20 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G290800
ABCB20-2, ABCB28	ABC transporter B family member 20 gene 2	glyma.Wm82.gnm2.ann1.Glyma.20G239800
ABCB20L-1, ABCB26	ABC transporter B family member 20-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.18G286600
ABCB20L-2, ABCB25	ABC transporter B family member 20-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.02G094800
ABCB21-1	ABC transporter B family member 21 gene 1	glyma.Wm82.gnm2.ann1.Glyma.06G189300
ABCB21-2	ABC transporter B family member 21 gene 2	glyma.Wm82.gnm2.ann1.Glyma.18G179000
ABCB21L-1, ABCB1	ABC transporter B family member 21-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.03G224100
ABCB21L-2, ABCB2	ABC transporter B family member 21-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.02G008000
ABCB21L-3, ABCB3	ABC transporter B family member 21-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.10G137600
ABCB25-1	ABC transporter B family member 25 gene 1	glyma.Wm82.gnm2.ann1.Glyma.05G019400
ABCB25-2	ABC transporter B family member 25 gene 2	glyma.Wm82.gnm2.ann1.Glyma.17G080400
ABCB28-3	ABC transporter B family member 28 gene 3	glyma.Wm82.gnm2.ann1.Glyma.09G147400
ABCB2L-1, ABCB37	ABC transporter B family member 2-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.08G270300
ABCB2L-2, ABCB38	ABC transporter B family member 2-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.09G206300
ABCB2L-3, ABCB39	ABC transporter B family member 2-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G016500
ABCB4L-1, ABCB5	ABC transporter B family member 4-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G118500
ABCB4L-2, ABCB4	ABC transporter B family member 4-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.17G041300
ABCB8-1, ABCB14	ABC transporter B family member 8 gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G008200
ABCB8-2, ABCB13	ABC transporter B family member 8 gene 2	glyma.Wm82.gnm2.ann1.Glyma.16G078100
ABCB9L-1, ABCB12	ABC transporter B family member 9-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G222000
ABCB9L-2, ABCB11	ABC transporter B family member 9-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.15G090200
ABCC10L-1	ABC transporter C family member 10-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G227300
ABCC10L-2	ABC transporter C family member 10-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.10G227400
ABCC10L-3	ABC transporter C family member 10-like isoform X2 gene 3	glyma.Wm82.gnm2.ann1.Glyma.16G172400
ABCC10L-4	ABC transporter C family member 10-like isoform X1 gene 4	glyma.Wm82.gnm2.ann1.Glyma.16G172500
ABCC10L-5	ABC transporter C family member 10-like isoform X1 gene 5	glyma.Wm82.gnm2.ann1.Glyma.16G172600
ABCC10L-6	ABC transporter C family member 10-like gene 6	glyma.Wm82.gnm2.ann1.Glyma.20G165000
ABCC12L-1	ABC transporter C family member 12-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.04G126500
ABCC12L-2	ABC transporter C family member 12-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.06G312300
ABCC13	ABC transporter C family member 13 isoform X1 gene	glyma.Wm82.gnm2.ann1.Glyma.13G370300
ABCC14L-1	ABC transporter C family member 14-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.09G044500
ABCC14L-2	ABC transporter C family member 14-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.15G148500
ABCC15-1	ABC transporter C family member 15 gene 1	glyma.Wm82.gnm2.ann1.Glyma.03G101000
ABCC15-2	ABC transporter C family member 15 gene 2	glyma.Wm82.gnm2.ann1.Glyma.05G145000
ABCC15-3	ABC transporter C family member 15 gene 3	glyma.Wm82.gnm2.ann1.Glyma.07G121900
ABCC15-4	ABC transporter C family member 15 gene 4	glyma.Wm82.gnm2.ann1.Glyma.08G101500
ABCC15-5	ABC transporter C family member 15 gene 5	glyma.Wm82.gnm2.ann1.Glyma.08G101700
ABCC2L-1	ABC transporter C family member 2-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G220000
ABCC2L-2	ABC transporter C family member 2-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.15G092400
ABCC3-1	ABC transporter C family member 3 gene 1	glyma.Wm82.gnm2.ann1.Glyma.08G347000
ABCC3-2	ABC transporter C family member 3 gene 2	glyma.Wm82.gnm2.ann1.Glyma.18G094000
ABCC3L-1	ABC transporter C family member 3-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.02G298300
ABCC3L-10	ABC transporter C family member 3-like isoform X1 gene 10	glyma.Wm82.gnm2.ann1.Glyma.18G079600
ABCC3L-11	ABC transporter C family member 3-like isoform X1 gene 11	glyma.Wm82.gnm2.ann1.Glyma.18G079700
ABCC3L-12	ABC transporter C family member 3-like isoform X1 gene 12	glyma.Wm82.gnm2.ann1.Glyma.18G080900
ABCC3L-13	ABC transporter C family member 3-like isoform X1 gene 13	glyma.Wm82.gnm2.ann1.Glyma.18G263200
ABCC3L-14	ABC transporter C family member 3-like isoform X1 gene 14	glyma.Wm82.gnm2.ann1.Glyma.03G083800
ABCC3L-15	ABC transporter C family member 3-like gene 15	glyma.Wm82.gnm2.ann1.Glyma.18G158400
ABCC3L-2	ABC transporter C family member 3-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.02G298400
ABCC3L-3	ABC transporter C family member 3-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.02G298500
ABCC3L-4	ABC transporter C family member 3-like isoform X1 gene 4	glyma.Wm82.gnm2.ann1.Glyma.08G326200
ABCC3L-5	ABC transporter C family member 3-like isoform X1 gene 5	glyma.Wm82.gnm2.ann1.Glyma.08G326300
ABCC3L-6	ABC transporter C family member 3-like gene 6	glyma.Wm82.gnm2.ann1.Glyma.08G326500
ABCC3L-7	ABC transporter C family member 3-like gene 7	glyma.Wm82.gnm2.ann1.Glyma.08G326600
ABCC3L-8	ABC transporter C family member 3-like gene 8	glyma.Wm82.gnm2.ann1.Glyma.14G015300
ABCC4L-1	ABC transporter C family member 4-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.03G214000
ABCC4L-2	ABC transporter C family member 4-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.10G019000
ABCC4L-3	ABC transporter C family member 4-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.15G149900
ABCC4L-4	ABC transporter C family member 4-like gene 4	glyma.Wm82.gnm2.ann1.Glyma.19G210700
ABCC4L-5	ABC transporter C family member 4-like gene 5	glyma.Wm82.gnm2.ann1.Glyma.19G210800
ABCC5L-1	ABC transporter C family member 5-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G127500
ABCC5L-2	ABC transporter C family member 5-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.03G167800
ABCC5L-3	ABC transporter C family member 5-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.19G169000
ABCC8-1	ABC transporter C family member 8 gene 1	glyma.Wm82.gnm2.ann1.Glyma.08G190700
ABCC8-2	ABC transporter C family member 8 gene 2	glyma.Wm82.gnm2.ann1.Glyma.15G241000
ABCC8L-1	ABC transporter C family member 8-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G011500
ABCC8L-2	ABC transporter C family member 8-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.07G011600
ABCC8L-3	ABC transporter C family member 8-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.08G194600
ABCC8L-4	ABC transporter C family member 8-like isoform X1 gene 4	glyma.Wm82.gnm2.ann1.Glyma.08G194700
ABCD-1	ABC transporter D family member 1 chloroplastic isoform X1	glyma.Wm82.gnm2.ann1.Glyma.08G160900
ABCD1-1	ABC transporter D family member 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.11G239800
ABCD1L-1	ABC transporter D family member 1-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.05G178900
ABCD1L-2	ABC transporter D family member 1-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.08G136400
ABCD1L-3	ABC transporter D family member 1-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.18G017600
ABCE2-1	ABC transporter E family member 2 gene 1	glyma.Wm82.gnm2.ann1.Glyma.11G090900
ABCF1-1	ABC transporter F family member 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.11G194700
ABCF1-2	ABC transporter F family member 1 gene 2	glyma.Wm82.gnm2.ann1.Glyma.12G079400
ABCF1L-1	ABC transporter F family member 1-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.12G177500
ABCF1L-2	ABC transporter F family member 1-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.13G323200
ABCF3-1	ABC transporter F family member 3 gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G002500
ABCF3-2	ABC transporter F family member 3 gene 2	glyma.Wm82.gnm2.ann1.Glyma.20G066600
ABCF4-1	ABC transporter F family member 4 gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G158600
ABCF4-2	ABC transporter F family member 4 gene 2	glyma.Wm82.gnm2.ann1.Glyma.17G112700
ABCF5-1	ABC transporter F family member 5 gene 1	glyma.Wm82.gnm2.ann1.Glyma.04G218900
ABCF5-2	ABC transporter F family member 5 gene 2	glyma.Wm82.gnm2.ann1.Glyma.06G146900
ABCG10-1	ABC transporter G family member 10 gene 1	glyma.Wm82.gnm2.ann1.Glyma.12G228500
ABCG10-2	ABC transporter G family member 10 gene 2	glyma.Wm82.gnm2.ann1.Glyma.13G271300
ABCG11-1	ABC transporter G family member 11 gene 1	glyma.Wm82.gnm2.ann1.Glyma.04G145300
ABCG11-10	ABC transporter G family member 11 gene 10	glyma.Wm82.gnm2.ann1.Glyma.16G209400
ABCG11-2	ABC transporter G family member 11 gene 2	glyma.Wm82.gnm2.ann1.Glyma.08G070700
ABCG11-3	ABC transporter G family member 11 gene 3	glyma.Wm82.gnm2.ann1.Glyma.08G070800
ABCG11-4	ABC transporter G family member 11 gene 4	glyma.Wm82.gnm2.ann1.Glyma.08G070900
ABCG11-5	ABC transporter G family member 11 gene 5	glyma.Wm82.gnm2.ann1.Glyma.08G071100
ABCG11-6	ABC transporter G family member 11 gene 6	glyma.Wm82.gnm2.ann1.Glyma.09G160000
ABCG11-7	ABC transporter G family member 11 gene 7	glyma.Wm82.gnm2.ann1.Glyma.13G043100
ABCG11-8	ABC transporter G family member 11 gene 8	glyma.Wm82.gnm2.ann1.Glyma.13G043500
ABCG11-9	ABC transporter G family member 11 gene 9	glyma.Wm82.gnm2.ann1.Glyma.13G043600
ABCG11L-1	ABC transporter G family member 11-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.08G071000
ABCG11L-2	ABC transporter G family member 11-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.13G042900
ABCG11L-3	ABC transporter G family member 11-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.13G043000
ABCG11L-4	ABC transporter G family member 11-like gene 4	glyma.Wm82.gnm2.ann1.Glyma.13G043800
ABCG11L-5	ABC transporter G family member 11-like gene 5	glyma.Wm82.gnm2.ann1.Glyma.13G044000
ABCG14-1	ABC transporter G family member 14 gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G154400
ABCG14-2	ABC transporter G family member 14 gene 2	glyma.Wm82.gnm2.ann1.Glyma.11G090200
ABCG14L-1	ABC transporter G family member 14-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.16G076900
ABCG14L-2	ABC transporter G family member 14-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.16G110100
ABCG15L-10	ABC transporter G family member 15-like gene 10	glyma.Wm82.gnm2.ann1.Glyma.19G137700
ABCG15L-3	ABC transporter G family member 15-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.03G135200
ABCG15L-4	ABC transporter G family member 15-like gene 4	glyma.Wm82.gnm2.ann1.Glyma.03G135300
ABCG15L-5	ABC transporter G family member 15-like gene 5	glyma.Wm82.gnm2.ann1.Glyma.03G135400
ABCG15L-6	ABC transporter G family member 15-like gene 6	glyma.Wm82.gnm2.ann1.Glyma.11G093800
ABCG15L-7	ABC transporter G family member 15-like gene 7	glyma.Wm82.gnm2.ann1.Glyma.11G093900
ABCG15L-8	ABC transporter G family member 15-like gene 8	glyma.Wm82.gnm2.ann1.Glyma.12G020300
ABCG15L-9	ABC transporter G family member 15-like gene 9	glyma.Wm82.gnm2.ann1.Glyma.12G020400
ABCG18L-1	ABC transporter G family member 18-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.05G247100
ABCG18L-2	ABC transporter G family member 18-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.08G055500
ABCG20-1	ABC transporter G family member 20 gene 1	glyma.Wm82.gnm2.ann1.Glyma.03G175300
ABCG20-2	ABC transporter G family member 20 gene 2	glyma.Wm82.gnm2.ann1.Glyma.19G176000
ABCG21L-1	ABC transporter G family member 21-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.09G074700
ABCG21L-2	ABC transporter G family member 21-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.10G205600
ABCG21L-3	ABC transporter G family member 21-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.20G184900
ABCG21L-4	ABC transporter G family member 21-like gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G091100
ABCG21L-5	ABC transporter G family member 21-like gene 5	glyma.Wm82.gnm2.ann1.Glyma.02G130600
ABCG22-1	ABC transporter G family member 22 isoform X1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.19G202200
ABCG22-2	ABC transporter G family member 22 isoform X1 gene 2	glyma.Wm82.gnm2.ann1.Glyma.03G204800
ABCG22L-1	ABC transporter G family member 22-like isoform X1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.02G188300
ABCG22L-2	ABC transporter G family member 22-like isoform X1 gene 2	glyma.Wm82.gnm2.ann1.Glyma.10G086800
ABCG23-1	ABC transporter G family member 23 gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G231400
ABCG23-2	ABC transporter G family member 23 gene 2	glyma.Wm82.gnm2.ann1.Glyma.20G040400
ABCG24L-1	ABC transporter G family member 24-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G209200
ABCG24L-2	ABC transporter G family member 24-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.20G181400
ABCG24L-3	ABC transporter G family member 24-like isoform X1 gene 3	glyma.Wm82.gnm2.ann1.Glyma.02G163200
ABCG25-1	ABC transporter G family member 25 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G217300
ABCG25-2	ABC transporter G family member 25 gene 2	glyma.Wm82.gnm2.ann1.Glyma.20G174800
ABCG26L-1	ABC transporter G family member 26-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.02G302200
ABCG26L-2	ABC transporter G family member 26-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.08G332100
ABCG26L-3	ABC transporter G family member 26-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.14G012000
ABCG26L-4	ABC transporter G family member 26-like gene 4	glyma.Wm82.gnm2.ann1.Glyma.18G074800
ABCG28L-5	ABC transporter G family member 28-like gene 5	glyma.Wm82.gnm2.ann1.Glyma.11G196100
ABCG28L-6	ABC transporter G family member 28-like gene 6	glyma.Wm82.gnm2.ann1.Glyma.12G078000
ABCG2L-1	ABC transporter G family member 2-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.08G071200
ABCG3-1	ABC transporter G family member 3 gene 1	glyma.Wm82.gnm2.ann1.Glyma.12G177200
ABCG3-2	ABC transporter G family member 3 gene 2	glyma.Wm82.gnm2.ann1.Glyma.13G323500
ABCG3-3	ABC transporter G family member 3 gene 3	glyma.Wm82.gnm2.ann1.Glyma.20G052300
ABCG31L-1	ABC transporter G family member 31-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.02G226400
ABCG31L-2	ABC transporter G family member 31-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.14G193300
ABCG31L-3	ABC transporter G family member 31-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.18G063400
ABCG32-1	ABC transporter G family member 32 gene 1	glyma.Wm82.gnm2.ann1.Glyma.05G011900
ABCG32-2	ABC transporter G family member 32 gene 2	glyma.Wm82.gnm2.ann1.Glyma.17G120100
ABCG36-1	ABC transporter G family member 36 gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G355000
ABCG36-2	ABC transporter G family member 36 gene 2	glyma.Wm82.gnm2.ann1.Glyma.15G019200
ABCG36L-1	ABC transporter G family member 36-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G015800
ABCG36L-2	ABC transporter G family member 36-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.08G201300
ABCG39-1	ABC transporter G family member 39 gene 1	glyma.Wm82.gnm2.ann1.Glyma.03G192500
ABCG39-2	ABC transporter G family member 39 gene 2	glyma.Wm82.gnm2.ann1.Glyma.03G192600
ABCG39-3	ABC transporter G family member 39 gene 3	glyma.Wm82.gnm2.ann1.Glyma.03G192800
ABCG39L-1	ABC transporter G family member 39-like isoform X1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.19G192900
ABCG5L-1	ABC transporter G family member 5-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.04G211800
ABCG5L-2, ABCG5	ABC transporter G family member 5-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.05G192700
ABCG5L-3	ABC transporter G family member 5-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.06G154500
ABCG5L-4	ABC transporter G family member 5-like gene 4	glyma.Wm82.gnm2.ann1.Glyma.08G000800
ABCG6L-1	ABC transporter G family member 6-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.09G202400
ABCG6L-2	ABC transporter G family member 6-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.20G242000
ABCG6L-3	ABC transporter G family member 6-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G020000
ABCG7-1	ABC transporter G family member 7 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G264900
ABCG7-2	ABC transporter G family member 7 gene 2	glyma.Wm82.gnm2.ann1.Glyma.20G125600
ABCG8-1	ABC transporter G family member 8 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G229800
ABCG8-2	ABC transporter G family member 8 gene 2	glyma.Wm82.gnm2.ann1.Glyma.20G163500
ABCG9-1	ABC transporter G family member 9 gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G279800
ABCG9L-1	ABC transporter G family member 9-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.06G248800
ABCG9L-2	ABC transporter G family member 9-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.13G183400
ABCI-1	ABC transporter I family member chloroplastic gene 1	glyma.Wm82.gnm2.ann1.Glyma.05G221600
ABCI-2	ABC transporter I family member chloroplastic gene 2	glyma.Wm82.gnm2.ann1.Glyma.08G028100
ABCI-3	ABC transporter I family member chloroplastic isoform X1 gene 3	glyma.Wm82.gnm2.ann1.Glyma.19G094500
ABCI-4	ABC transporter I family member chloroplastic isoform X1 gene 4	glyma.Wm82.gnm2.ann1.Glyma.06G153500
ABCI1-1	ABC transporter I family member 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G154800
ABCI17-1	ABC transporter I family member 17 gene 1	glyma.Wm82.gnm2.ann1.Glyma.08G055000
ABCI19-1	ABC transporter I family member 19 gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G124700
ABCI20-1	ABC transporter I family member 20 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G145200
ABCI7-2	Chloroplastic isoform X2, Protein ABCI7 gene 2	glyma.Wm82.gnm2.ann1.Glyma.04G172400
ABCI7-3	Chloroplastic,Protein ABCI7 gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G199500
ABCI7c-2	Chloroplastic,Protein ABCI7c gene 2	glyma.Wm82.gnm2.ann1.Glyma.11G042400
ABCI8-1	UPF0051 chloroplastic, PROTEIN ABCI8 gene 1	glyma.Wm82.gnm2.ann1.Glyma.15G217000
ABCI8-2	UPF0051 chloroplastic-like,protein ABCI8 gene 2	glyma.Wm82.gnm2.ann1.Glyma.17G107200
ABF1, bZIP1, bZIP14	ABF1 bZIP transcription factor 1 gene	glyma.Wm82.gnm2.ann1.Glyma.02G131700
ABF2, bZIP33	ABF2 bZIP transcription factor 2 gene	glyma.Wm82.gnm2.ann1.Glyma.04G039300
ACCA-1	alpha-carboxyltransferase aCT-1 precursor gene 1	glyma.Wm82.gnm2.ann1.Glyma.18G195700
ACCA-2	alfa-carboxyltransferase precursor gene 2	glyma.Wm82.gnm2.ann1.Glyma.18G195900
ACCA-3	carboxyl transferase alpha subunit gene 3	glyma.Wm82.gnm2.ann1.Glyma.18G196000
ACCB-1	biotin carboxyl carrier protein precursor gene 1	glyma.Wm82.gnm2.ann1.Glyma.18G243500
ACCB-2	biotin carboxyl carrier protein subunit gene 2	glyma.Wm82.gnm2.ann1.Glyma.18G265300
ACCC-3	biotin carboxylase precursor gene	glyma.Wm82.gnm2.ann1.Glyma.08G027600
ACCase	acetyl-CoA carboxylase gene	glyma.Wm82.gnm2.ann1.Glyma.05G221100
